Lemma	Senses	Freq
rerumputan	1	1
pandangan mata	1	1
mencegah	1	2
keahlian	1	1
meja rias	1	1
gunakan	1	1
di seluruh	1	1
paksa	1	1
setiap	2	4
lekas	1	1
tepi	2	2
menunggu	2	3
bagaikan	1	4
takutkan	1	1
menghadap	2	2
udara	2	2
takut	3	4
cangkir	1	1
mencintai	1	1
ular berbisa	1	1
diikat	1	5
kebetulan	3	4
tumbuhan	1	1
kebisingan	1	1
nilai	1	3
semangkuk	1	2
kanan	1	3
kasar	2	3
terpaku	1	1
bangkit	2	3
sanggup	2	2
jam	4	17
proses	1	1
jadi	6	26
bangsa	1	1
menemukan	1	2
meminta	1	1
perabotan	1	2
menit	1	3
di luar	2	4
ia	1	23
-mu	1	16
lensa	1	3
gerak	1	3
gantikan	1	1
bibi	1	3
menghantam	1	1
nyenyak	1	2
tiket	1	1
akal	1	1
luka	1	1
menghubungkan	1	1
pusaran	1	1
melotot	1	1
ikatan	1	1
-nya	1	317
lakukan	2	10
menimpa	3	3
mendesak	1	1
mencemarkan	1	1
terbenam	1	1
hasil	1	4
brendi	1	1
korban	1	1
pilon	1	1
ingat	2	3
siang	1	5
alamat	1	1
jenis	1	1
turki	1	1
jarang	1	2
lanjut	1	1
ayah	1	16
keadaan	4	6
jauh ke dalam	1	1
tampaknya	1	1
mengitari	3	3
tenang	1	2
mati	3	6
kekecewaan	1	1
membakar	1	1
pertanian	1	1
menerpa	1	1
silakan	1	6
mengalami	2	3
bukti	1	1
mengurangi	1	1
perkiraan	1	2
kamar	1	77
puas	1	1
memukulkan	1	1
perlahan	2	2
bagai	1	3
petang	1	1
padang rumput	1	2
fatal	1	1
air muka	1	1
licik	1	2
tenggelam	1	1
halaman rumah	1	1
mendesis	1	1
memaksa	1	1
tambah	1	2
senyum	1	1
untung	2	3
bersiul	1	2
tinggi	3	4
luas	2	2
senang hati	1	2
terus-terusan	1	1
stasiun	1	2
memperbaiki	1	1
selalu	1	7
terhindar	1	1
orang tua	1	2
perbaikan	1	1
tersimpan	1	1
omongan	1	2
bayaran	1	2
sebelas	1	2
terkenal	1	1
pendapat	1	1
gembira	3	4
gadis	1	2
sela	1	1
keluar	3	11
berdasarkan	1	1
bagus	2	2
menegakkan	1	1
pos	1	1
baik hati	1	1
keberanian	1	1
sigap	1	1
wajah	3	10
mantel	1	1
buku	1	1
penempatan	1	1
korek	1	3
biar	1	2
teman baik	1	1
keserakahan	1	1
putra	1	2
batu	2	4
senyap	1	2
setinggi	1	1
mematikan	1	1
sangat	5	17
musim	1	3
menjijikkan	1	1
kalem	1	1
seberang	1	2
surat kabar	1	1
penghubung	1	1
seram	1	1
ikuti	1	2
diperlakukan	1	1
esok hari	1	1
rusak	1	1
kota	2	3
sikat	1	1
sinar matahari	1	1
luar	3	6
mengejang	1	1
ramah	1	1
cadar	1	2
jalan-jalan	1	2
bohongan	1	3
memang	4	17
tanamkan	1	1
batang	1	1
napas	1	4
makin	2	4
tak	1	34
lancar	1	1
hal	4	11
terhitung	1	1
kopi	1	1
suatu	1	5
pertolongan	1	1
menurunkan	1	2
kegembiraan	1	1
cerita	2	2
syal	1	1
mencium	1	1
minyak	1	1
lumut	1	1
bersahaja	2	2
ada	11	76
rasa	6	16
mengekor	1	1
asal	1	1
renda	1	1
mengancam	1	1
yah	1	4
ikatkan	1	1
pesan	1	1
sebenarnya	5	7
runtuh	1	1
setelah	1	2
menjelang	1	3
korek api	1	2
terkadang	1	1
besi	2	12
menghidupi	1	1
penjaga	1	1
kayu-kayuan	1	1
gelap	1	3
kecuali	1	5
gasing	1	1
penuh perhatian	1	1
hitam	2	4
semi	1	2
tergeletak	1	2
komentar	3	3
ibu kota	1	1
geraman	1	1
taruh	1	3
berminggu-minggu	1	1
logam	2	5
aman	1	2
kening	1	2
masalah	5	9
selamat pagi	1	1
mengenakan	1	3
mengelilingi	1	2
apa saja	2	3
pura-pura	1	1
kerasnya	1	1
memerah	1	1
musibah	1	1
biaya	1	1
kusir	1	5
sepele	1	1
angin	2	4
bohong	1	1
berkeliaran	2	4
kekejaman	1	4
mencampuri	1	1
menggeliat	1	2
cepat-cepat	1	1
menimbulkan	2	2
unik	1	2
dahsyat	1	1
tiga puluh	1	1
mencengkeram	1	1
menyalami	1	1
polisi	1	1
pound	1	2
bahaya	1	7
dunia	1	1
menghina	1	1
hidup	3	8
begini	1	5
mampu	1	3
kehidupan	1	1
menyala	2	2
sama sekali	2	3
mencoba	1	1
kesulitan	1	4
perkemahan	1	1
kapan	1	1
isi	1	5
kriminalitas	1	1
sewaan	1	1
ungsikan	1	2
terletak	2	4
barang	2	2
binatang	1	7
menaiki	1	1
baja	1	2
menepuk	2	2
tutup	1	1
upaya	1	1
keinginan	1	1
bergelayutan	1	1
aku	1	76
henti	4	6
keputusan	1	1
teringat	1	1
topi	2	3
katanya	2	10
jumlah	2	5
selanjutnya	1	1
mengenali	2	2
tujuan	1	2
saudara	2	20
membuat kesimpulan	1	2
lewat	1	1
teropong	1	1
merajai	1	1
berapa	1	1
akibatnya	1	1
pesakitan	1	4
tenaga	1	5
lontar	1	1
baik-baik	1	1
dokar	1	3
hal biasa	1	1
ah	1	6
dihuni	1	1
bulan	3	5
peri	1	1
kereta	3	9
kebakaran	1	1
semak	1	1
nyalang	1	1
mengikuti	2	4
seolah-olah	1	2
macan tutul	1	6
tanda	2	3
keragu-raguan	1	1
bisnis	1	2
kejauhan	1	3
awan	1	1
teliti	2	3
jendela	1	27
sepasang	1	1
campuran	1	1
bagian	4	16
menggigil	2	3
membuyarkan	1	1
memikirkan	2	2
ditinggalkan	1	1
perancah	1	1
rumah besar	1	1
menyeberang	1	1
ke luar	1	1
gadaikan	1	1
membantu	1	2
menutup	2	2
sini	1	4
berputar	1	1
mengganggu	2	4
dugaan	1	3
penyelesaian	1	1
anggap	2	2
bujangan	1	1
pikir	2	3
kekayaan	2	3
sebelum	1	1
persegi	1	1
perlahan-lahan	2	2
menikah	1	8
malapetaka	2	3
seseorang	1	6
surrey	1	3
tikus	1	1
indah	2	3
maaf	1	2
lengan baju	1	1
menyelamatkan	1	1
petani	1	1
menghuni	1	1
dada	1	1
benar-benar	3	7
fantastis	1	1
percaya	1	1
jeli	1	1
katakan	2	7
ceret	1	1
cakar	1	1
menempatkan	1	1
suara	5	27
urusan	2	5
pangkuan	1	2
mengatur	2	2
pintu gerbang	1	1
tahan	2	2
istirahat	1	1
mengantar	1	2
sambil	1	1
minta	1	3
inggris	1	3
bangsat	1	1
tanda-tanda	1	1
kelelahan	1	2
kesimpulan	3	6
keluarkan	2	2
kenyataan	2	3
coba	2	2
ditujukan	1	1
akhirnya	2	12
dihukum	1	1
arah	3	8
data	1	2
hirau	1	1
negeri	1	1
noda	1	1
bagian tubuh	1	1
pagi-pagi	1	2
pria	1	3
dasar	2	8
lukiskan	1	1
percikan	1	1
tadinya	1	1
sendiri	2	4
badan	1	2
dengar	2	5
setempat	1	1
membuat	5	7
tergesa-gesa	1	1
terdiri dari	1	1
sadar	1	4
menekan	1	1
seni	1	1
dia	1	115
kawan	1	1
opal	1	1
penginapan	1	5
menyentuh	1	1
