Lemma	Senses	Freq
物珍しい	1	1
我が物顔	1	1
喧嘩	1	2
幸福	1	1
最も	3	4
権	1	1
おはようございます	1	1
難事件	1	1
駅長	1	2
憎しみ	1	1
スコットランド ヤード	1	1
大 多数	1	1
神秘	1	1
もたせかける	1	1
申しあげる	1	1
メッセージ	1	1
猫背	1	1
応じる	1	2
はるか	1	1
数限もない	1	1
胸 の うち	1	1
そちら	1	1
座席	1	1
四	2	8
容赦	1	1
一致	1	1
さらに	5	10
憔悴	2	2
一体	1	1
長い	4	15
黄色	1	2
行列	1	1
写し取る	1	3
願う	2	3
婦人	2	25
熱愛	1	1
働く	1	2
銀色	1	2
ことば	1	1
飛び上がる	1	2
ようやく	1	3
具体	1	1
指差す	1	1
肘掛 椅子	1	1
驚かす	1	1
時点	1	2
紐	1	9
しばらく	1	6
側	3	7
名誉	1	1
普通	1	1
可能	1	1
旅	1	1
外れ	1	1
上手	1	2
昔	2	3
期限	1	1
喜ぶ	2	3
いいえ	1	2
中 へ	1	1
照らす	1	1
光栄	2	3
綱	2	14
決定的	1	1
もう少しで	1	1
いつく	1	1
そんなバカな	1	1
頻度	1	1
誓う	3	3
しっかり	2	7
無駄	3	4
すぐさま	1	1
役	1	1
即死	1	1
ほう	2	2
飾り	1	2
おやおや	1	2
ほとんど	3	6
昼間	1	1
検視	1	5
基づく	1	2
星	1	1
まくる	1	1
夜	3	14
悲しい	2	2
芝 地	1	1
見つめる	2	6
毎夜	1	1
運良く	1	1
検視官	1	3
つながる	2	3
雨	1	1
流れ	1	1
知らせ	1	2
出す	3	4
熟知	1	2
規則	3	3
証拠	2	7
少し の	1	1
はいる	1	1
左側	1	2
担ぐ	1	1
家系	1	1
やがて	2	9
作る	6	6
早い	1	2
土	1	2
いっそう	1	1
する	9	81
トルコ	1	1
好き	1	1
持つ て くる	1	1
綺麗	3	3
相違	2	3
同士	1	1
往復 切符	1	1
ちゃんと	1	1
汽車	1	4
のぼる	1	9
今年	1	1
やり方	1	1
さすらう	1	1
痙攣	2	2
わざわい	1	1
語る	1	2
銀	1	1
用事	1	2
浮かぶ	3	3
忠告	2	2
例	1	5
雲	1	1
順	1	1
順調	1	1
説得	1	1
次 の よう に	1	1
書類	1	2
孤独	1	1
三つ目	1	1
まじる	1	1
光	3	13
時期	1	1
四肢	1	1
がち	1	1
ぶら下る	1	1
思いとどまる	1	3
そば	2	9
目 覚める	1	1
目	6	37
道	4	5
大	2	9
先	4	5
ヒルトン ・ キュー ビット	1	6
声 を 張り上げる	1	1
そそのかす	1	1
貫く	1	2
かえって	1	1
撃つ	3	18
初め	2	2
乗り付ける	1	1
笑み	1	1
這う	1	2
いろいろ	2	2
嫌悪	1	1
もしか する と	1	2
おそらく	2	6
決して	2	8
尋く	1	1
ゆるす	1	1
厄介	1	1
ヒヒ	1	4
これ	2	59
見通せる	1	1
見回す	2	3
震わせる	1	1
ほお	1	1
まっ暗	1	2
筆	1	1
噂	1	4
四つ	1	1
折りたたむ	1	1
煙突	1	3
咲く	1	1
起こる	1	2
垂れる	2	3
血	1	9
話	4	19
鍵 を 掛ける	1	2
場合	1	3
みっともない	1	1
クロッカス	1	1
のろのろ	1	1
家政 婦	1	2
取る	4	5
向かい	1	1
あてる	1	1
明らか	4	4
つける	4	7
立ちこめる	1	1
死人	1	1
ナイフ	1	1
可哀そう	1	1
眠り	1	2
気持ち	1	2
大要	1	1
品	1	1
きつい	2	2
どうぞ	1	9
日差し	1	1
一味	1	2
大型	1	1
言い訳	1	2
立つ	1	6
肘掛け 椅子	1	1
ちっと	1	1
手入れ	1	1
裸足 の	1	1
オプション	1	1
見せつける	1	1
たった	1	5
告げる	1	4
隙間風	1	1
一 件	1	1
明らか に する	1	1
一杯	1	1
書く	4	10
寝起き	1	1
意味	3	9
いいや	1	1
爆ぜる	1	1
せっせと	1	1
書きなぐる	1	1
すなわち	1	1
栄枯盛衰	1	1
不審	2	2
音	3	25
開く	4	17
乱暴 さ	1	1
犯罪	1	6
知識	2	4
負担	1	1
後ろ へ	1	1
漆喰	1	1
別々	1	1
分かる	7	20
二つ目	1	1
親類	1	1
かっとなる	1	1
人となり	1	1
お送り	1	2
下がる	1	1
言葉	4	16
あれ	1	10
あんまり	1	1
のぞむ	1	1
覚める	1	3
混じる	1	2
ふざける	1	2
いくつか	2	3
いやはや	1	1
うずくまる	2	2
五十	1	1
Ｓ	1	2
目 の 前	1	2
詰める	1	1
跡	2	3
滅びる	1	1
連中	2	4
房	1	1
保護 者	1	1
触れる	2	2
持つ	9	29
イングランド銀行	1	1
普段	1	1
シルク	1	2
聴取	1	1
恐怖	1	7
さえぎる	1	1
進み出る	2	2
ベイ カー 街	1	1
日暮	1	1
上る	1	1
火かき棒	1	4
切り出せる	1	1
まだ ら	1	4
誤る	1	3
記す	1	1
手法	1	1
沈黙	1	1
動機	1	1
関わりあい	1	1
質素	1	2
小さい	3	5
すばやい	2	2
危険	4	9
ヒルトン ・ キュー ビット 夫人	1	6
寝ぼけまなこ	1	1
やや	1	1
伝言	1	10
雨戸	1	2
始まり	1	1
おれ	1	4
まとめる	1	1
短文	1	2
届く	2	3
女 主人	1	1
しわくちゃ	1	1
職務 上	1	1
絆	1	1
どこ	1	6
沈める	1	1
尋ねる	1	2
天上	1	1
一流	1	1
当惑	2	2
こちら へ	1	1
存在	1	5
グリムズビー・ロイロット	1	1
え	1	1
海兵	1	1
もと	1	1
かたく	1	1
ハット	1	2
尋常	1	1
度	1	3
何	1	59
ノブ	1	1
我ら	1	2
人間	3	5
点	4	8
十二	1	2
シカゴ	1	3
そっと	2	3
落ちる	3	7
誰か	1	6
頃	2	2
まずは	1	1
決意	1	1
ちまう	3	6
その 頃	1	1
興味深い	2	4
下 側	1	1
ぐっすり	1	1
サー スト ン	1	2
役立つ	1	1
会館	1	1
すでに	1	2
口出し	1	1
静穏	1	1
叩く	2	4
ごきげんよう	1	1
策士	1	1
どちら	1	5
瞬間	1	3
跳ね返る	1	1
流布	1	1
金	2	4
テーブル	1	5
手紙	1	13
たくらむ	1	1
しまう	4	16
まもなく	1	2
じっと	2	5
枠	1	2
際	1	2
Ａ	1	3
言い及ぶ	1	1
丁寧	1	1
ひっくり返す	1	1
土地	1	3
雇い主	1	1
当然	1	1
あっという間	1	1
こと	6	64
与える	2	2
告白	1	1
最善	1	3
ですから	1	1
名前	1	6
お出でる	1	1
交わす	2	2
ショール	1	1
極悪	1	1
解放	1	1
公正	1	1
クラブ	1	1
逮捕	1	1
吠える	2	2
もうすぐ	1	1
つかむ	3	4
先 に	1	1
覚悟	1	1
昼	1	1
縄	1	1
続ける	3	7
持ち合わせる	1	1
フロック	1	1
類型	1	2
泥坊	1	3
こっち	1	1
田舎	1	1
繁盛	1	1
凶悪	1	2
人生	2	2
親切	1	1
実直	1	1
あきらめる	1	1
そいつ	1	1
図体	1	1
幅広い	1	1
手すり	1	1
投げ	1	1
完全 に	3	3
ビリヤード	1	2
家柄	1	1
見出す	2	2
今日	1	5
食べる	1	1
菱形	1	1
日焼け	1	1
救う	1	1
取り込む	1	1
経つ	1	2
音色	1	1
いたずら描き	1	1
行状	1	1
聞き取る	1	1
曲げる	1	1
巻く	1	2
乗りかかる	1	1
ベル	1	1
料金	1	1
はさみ	1	1
拾い上げる	1	1
入り	1	1
影	2	2
犯罪 者	1	1
付近	1	1
千	1	1
ラッセル ・ スクエア	1	1
時計 台	1	1
視線を落とす	1	1
昨日	1	1
七十	1	1
蜘蛛	1	16
鳴き声	1	2
所見	1	1
訪問 者	1	1
私道	1	1
あそこ	1	1
おいでる	1	1
殺害	1	1
真鍮	1	1
恨み	1	1
鉄	1	5
しきりに	1	1
こちら	2	7
乗る	2	4
ふち	1	3
気	1	9
過去	1	4
黄色い	1	1
廃墟	1	1
完璧	1	1
多い	1	1
シャーロック ・ ホームズ	1	7
重要	2	3
いつも	3	10
見当	1	2
同様	1	6
襲う	1	1
容疑	1	1
友	1	10
身だしなみ	1	1
たとえ...も	1	1
四 番目	1	1
奇怪	1	2
加わる	1	1
設計 者	1	1
茫然 自失	1	1
門	1	2
通す	1	2
よじる	1	1
地獄	1	13
面倒	1	1
すくめる	1	1
不必要	1	1
ともに	1	2
伝う	1	1
言い張る	1	1
券	1	1
絵文字	1	1
叫び声	1	3
品行	1	1
内容	1	1
十五 の	1	1
さっと 動く	1	1
刑法	1	1
押さえる	1	1
お節介	1	1
本職	1	1
不機嫌	1	1
異論	1	1
気分	1	1
出る	4	21
坊主	1	1
ますます	1	1
寝室	1	10
電報	1	5
あずかる	1	1
そこ	1	16
策	1	1
怪しい	1	1
教区	2	2
預ける	2	2
身 を 震わせる	1	1
下手	1	1
ぼんやり	1	2
ミス	1	1
正確	3	5
結果 的	1	1
捜査	1	6
三つ	1	1
カーペット	1	1
色	2	5
じわじわ と	1	1
イギリス	1	3
小 論	1	1
こわい	1	1
貴族	1	1
地元	2	3
炉 棚	1	1
農夫	1	1
見事	2	3
認める	1	1
寄せる	1	1
次男	1	1
結末	1	1
絶間	1	2
心踊る	1	1
冷静	1	1
お巡り	1	1
助け に なる	1	1
事故	1	1
古めかしい	1	1
上手をいく	1	1
身のこなし	1	1
印刷	1	1
誰	1	9
注意深い	2	2
落ち度	1	1
